Bangla,English
জায়গা,Place
তাড়াতাড়ি,Quickly
কীভাবে,How
বসে,Sit
ফেলে,Out
দয়া,Kindness
জানে,Know
উপরে,Above
মাথা,Head
বাড়ি,House
দেখি,See
খুন,Murder
আসে,Out
সঙ্গে,With
মাত্র,Only
অথবা,Or
আসছি,Come
করলে,Do
মাঝে,Between
দিচ্ছি,Give
আপনাদের,Yours
রাতে,Night
গাড়ি,Car
হয়েছিল,Happened
চুপ,Shut up
ভুলে,Forgotten
দাঁড়াও,Stand
ব্যবহার,Use
আছো,Oh
অবস্থা,Condition
উচিৎ,Should
এখনও,Still
করেন,Do
করছো,Doing
যাব,Will go
সবাইকে,All
তবে,But
এটাকে,This one
সবার,Everyone
পেতে,Get
বাচ্চা,Baby
বেঁচে,Alive
হিসেবে,Like this
পারছি,Can do
প্রয়োজন,Need
একা,Lonely
যাওয়া,Go
উনি,He/She/They
চেয়ে,Than
তাঁর,Him
বলেছি,Stated
এভাবে,Thus
পাবে,Receiving
দেখেছি,See
দ্রুত,Quick
আয়,Income
প্রতি,Toward
ভিতরে,Inside
পাগল,Crazy
যাওয়ার,Go
কারন,Cause
আপনারা,You
দূরে,Far
দেয়,Pay
যুদ্ধ,War
যার,Whose
পাওয়া,Find
দিবে,Donated
নই,Niece
জানেন,Know
লাগে,Take
শান্ত,Quiet
শুভ,Auspicious
আসল,Real
একই,Same
করেছ,You have done
খবর,News
একবার,Once
মিঃ,Mr.
বাবার,Father's
খুশি,Happy
বলবে,Say
আগেই,Before
রাখো,Keep
গেল,On
চান,Desire
নিশ্চয়ই,Surely
সুযোগ,Privilege
কাজে,At work
গিয়েছে,Gone
আসলেই,In fact
সম্ভব,Possible
আছেন,There is
হয়নি,Did not
বলছে,Say
দেবে,Paid
বিয়ে,Marriage
যথেষ্ট,Enough
দরজা,Door
রেখে,On
এখানেই,Here
এমনকি,Even
পথ,Path
হওয়ার,Be
কিনা,Or not
তিন,Three
জানিনা,Know
চোখ,Eye
ভেতরে,Inside
যাতে,In order
কোথাও,Somewhere
প্রশ্ন,Question
রাখতে,Keep
উত্তর,Answer
এদিকে,In the meantime
ভাবে,By way
জায়গায়,In place
ব্যাপারটা,Thing
প্রস্তুত,Prepared
আমাদেরকে,Us
করছেন,Doing
দেখছি,See
চমৎকার,Lap
সোনা,Gold
খাবার,Food
বলার,Say
দেয়া,Give
হাই,Hi
আছ,Are
করেছিলাম,Did
হুম,Hmm
রয়েছে,Remain
দে,Give
আহ,Ah
ভেবেছিলাম,Thought
করেছেন,Made
পানি,Water
গেলে,In
বলি,Sacrifice
জ্যাক,Jack
কেবল,Only
শুধুমাত্র,Only
দেওয়া,Give
দেখুন,View
শব্দ,Word
ক্ষমা,Pardon
নষ্ট,Ruined
হত্যা,Killing
একসাথে,Together
সম্ভবত,More likely to
the,the
সহজ,Simple
ক্যাপ্টেন,Captain
রাস্তা,Road
বলুন,Say
বলেছিলাম,Said
প্রায়,Almost
আমায়,Me
রক্ষা,Protection
বাকি,Rest
দিয়েছি,Gave
কাছ,Close
কারো,Some
তুমিই,You
কঠিন,Hard
কল,Call
বস,Boss
গেলো,Gone
নাম্বার,Number
খোদা,God
রাজা,King
এতো,So
ধ্বংস,Destruction
কেনো,Why
জীবনের,Life
থাকার,Stay
সত্য,True
কষ্ট,Suffering
পিছনে,Back
ধরো,Hold on
মন,Mind
শোন,Listen
আমিই,Me
মুখ,Face
এখনই,Right now
মিথ্যা,False
চুরি,Theft
একে,One
যেমন,As
থাক,Stay
সেটাই,That
ঈশ্বর,God
আঘাত,Injury
একমাত্র,Only
কখনোই,Ever
আসুন,Come
পাচ্ছি,Get
কম,Low
থাকা,Be
জানতাম,Knew
কার,Carrier
রাখা,Keep
জান,Know
দিব,Gate
কখনও,Ever
হাজার,Thousand
গেছি,Go
হ্যারি,Harry
আসার,Come
জিজ্ঞেস,Inquiry
করেছো,Done
শক্তি,Power
সিদ্ধান্ত,Decision
খেলা,Play
বেশী,More
সরে,Out
পরিষ্কার,Clear
করলাম,Do
নিরাপদ,Secure
খেতে,Eat
ছিলে,Was
দেবো,God
বাদ,Exclusion
বলবো,I will say
ছবি,Picture
পেছনে,Back
মহান,Great
এতে,So
পেয়ে,Receiving
কাজের,Work
বললে,Say
সকল,All
করেছিল,Performed
কিসের,What
দেরি,Late
আসা,Come
বিদায়,Departure
জানা,Know
তাইনা,So
বাসায়,At home
থাকলে,If
থেকেই,In
হওয়া,Be
অস্ত্র,Weapon
পারবেন,Available
স্বাগতম,Welcome
আরেকটা,Another
ওহ্,Oh
কারণে,Because
তাদেরকে,By them
খুজে,Find
নামে,In the name of
খুলে,Open
দাড়াও,Shake
ইচ্ছা,Desire
সঠিক,Right
চাচ্ছি,Want
তোমায়,You
ঘরে,House
পরিবার,Family
পা,Foot
জন্যে,For
পৃথিবীর,Earth
মাফ,Forgiveness
বলছ,Say
মৃত্যুর,Death
দ্বারা,By
চেক,Check
১,One
নিজে,By one's own
দেই,Give
ধরনের,Kind
হারিয়ে,Lost
বিশেষ,Special
২,Two
আজকে,Today
বাড়িতে,In the house
কাল,Time
ফিরিয়ে,Back
কখন,When
ডাক্তার,Doctor
হয়েছে,Have been
বার,Time
প্রথমে,First
নিজেই,In one's own
রক্ত,Blood
ওপর,On
আস্তে,Slowly
ছিলেন,Was
গল্প,Story
গত,Past
মাথায়,In the head
একদিন,One day
দেব,God
আগের,Before
১০,Ten
দারুণ,Great
হা,Hai
যাচ্ছ,Going
উপায়,Way
শুনেছি,Heard
স্বপ্ন,Dream
ধরতে,To catch
সময়,Time
দল,Group
সকাল,In the morning
ভালোই,Well
স্ত্রী,Wife
খালি,Empty
দু,Two
খেয়ে,Consumed
বছরের,Year
লড়াই,Fight
বিষয়,Subject
অদ্ভুত,Strange
ছোট্ট,Small
ক্ষমতা,Power
করিনি,Did not do
বলব,To say
পাই,Get
পান,Drink
গান,Song
বলেন,Said
গুরুত্বপূর্ণ,Important
অংশ,Part
আলাদা,Different
উঠে,Up
শোনো,Listen
মারতে,Beating
যদিও,But
মৃত,Dead
প্রমাণ,Proof
লাভ,Profit
পাশে,Side
বাজে,Bad
পথে,On the way
ফেলবে,Fall
কেটে,Cut
ধারণা,Concept
জন্যই,For
মায়ের,Mother
সাহস,Braveness
তুমিও,You too
ধীরে,Slowly
শক্তিশালী,Powerful
পায়,Get
তাঁকে,Him
তথ্য,Information
এসেছ,Have come
পেরেছি,Got
মুক্ত,Free
৩,Three
তাকাও,Look
দিলে,Give
তাতে,So
নিজেদের,Themselves
দোস্ত,Friend
৫,Five
এরা,These
শুনে,Hearing
হে,O
জিজ্ঞাসা,Inquiry
দারুন,Well
চালু,Opened
আনতে,Bring
গোপন,Secret
দোষ,Guilt
হয়ত,Maybe
পরিবর্তন,Change
বিরুদ্ধে,Against
রাত,Night
অনুভব,Feeling
তুলে,Raw
ঠিকই,Right
গিয়েছিল,Had gone
অন্তত,At least
পেয়েছে,Received
পাওয়ার,Power
বলেছেন,Says
পরীক্ষা,Examination
হবেনা,Will
চাইলে,In wanting
বাচ্চাদের,Kid
পরিবারের,Family
পারবেনা,Can
যত,As much
অসম্ভব,Impossible
বসো,Sit down
সেরা,Best
বদলে,Instead
প্রিয়,Beloved
এইতো,Right now
করত,He did
ব্যবস্থা,Arrangement
মাস,Month
মহিলা,Woman
কোথায়,Where
জীবনে,Life
হতো,Were
মেয়ের,Girl
তেমন,So
টাকার,Money
সামান্য,Little
চলছে,Running
কিছুটা,Somewhat
লুকিয়ে,Hiding
অসাধারণ,Extraordinary
মৃত্যু,Death
এখনি,Right now
ধরা,Catch
দিনের,Day
কালো,Black
বোকা,Dumb
ভেবে,Thoughtfully
করেনি,Did
প্রফেসর,Professor
ফেরত,Refund
অনুমতি,Permission
চিৎকার,Screaming
সকালে,In the morning
ডলার,Dollar
করছিলাম,Was doing
সোজা,Straight
খেয়াল,Fanatical
লেগেছে,Like
কোনও,Any
জীবিত,Alive
বন্দুক,Gun
বলছেন,Say
অধিকার,Right
কয়েক,Few
বিক্রি,Selling
নিন,Take
বললাম,Said
লেখা,Write
দিচ্ছে,Giving
পৃথিবী,Earth
হলাম,Into
আসি,Leaving
সাবধানে,Carefully
দেখার,Seeing
রাখবে,Keep
করতাম,Used
বলেছিল,Said
বয়স,Age
সন্দেহ,Doubt
বাহিরে,Out
সময়ে,At the time
বলছো,Saying
দিও,Give
সাধারণ,Common
জাহাজ,Ship
থাম,Pump
গুলো,Gourmet
ঘটনা,Event
করেই,By
মজার,Funny
ফেলো,Felt
চার,Four
প্রয়োজন,Need
বলেছ,Said
বলেছিলে,Said
করলো,See
সেকেন্ড,Second
এইটা,This
দিলাম,Give
কাজটা,Work
ভালই,Well
চেহারা,Appearance
থাকি,Stay
তাঁরা,They
সারা,Full
ডঃ,Dr.
পেলে,Pelvis
এইসব,These
পাবেন,Receiving
জনাব,Man
সাবধান,Careful
মাধ্যমে,Through
পাঁচ,Five
মেয়েকে,Girl
চিনি,Sugar
ধর,Hold
সপ্তাহ,Week
দেখলে,Seeing
স্কুলে,At school
চোখে,Eye
পারিনি,Could not
বাবাকে,Father
পুরনো,Old
পরিকল্পনা,Plan
পরের,Next
যাকে,Whom
চেয়েও,More
মার,Beating
ভালোবাসি,Love
বোন,Sister
বন্ধুরা,Friend
মরে,Death
হয়েছি,Have become
গেলাম,Go
ফেলেছি,Left
ভেঙ্গে,Break
এগিয়ে,Forward
লোকদের,People
সম্মান,Honor
হায়,Alas
কোথাকার,Where
শহর,City
প্রধান,Prime
গিয়েছিলাম,Walked
ভালবাসি,Loving
ভাগ্য,Fortune
হয়েছিলো,Was
চোখের,Eye
ঝামেলা,Disturbance
অবস্থায়,Under
ঘৃণা,Hate
পালিয়ে,Escaped
বাস,Residence
মধ্যেই,In
শহরের,City
হবার,Cause
ভালোবাসা,Love
দূর,Far
দুটো,Two
ভাগ,Share
একেবারে,Absolutely
আটকে,Stuck
নয়,Nine
শহরে,In the city
সময়ের,Time
কাছাকাছি,Close
বুঝেছি,Understand
এরপর,After
দেবতা,Deity
আদেশ,Order
বই,Book
দেওয়ার,Give
বানিয়ে,By
থাকবো,Stay
ফেলেছে,Dropped
তোরা,You
এদের,Them
যোগাযোগ,Communication
ঘর,House
দেখাতে,In
আসবো,Come
প্ল্যান,Plan
গরম,Hot
হিসাবে,As
মতই,Just like
ম্যাডাম,Madam
পারতাম,Could
দেখাও,Show
অনুসরণ,Follow
পারলে,Can
পরিচিত,Familiar
সমাধান,Solution
রুমে,In the room
কই,Where
ঘুরে,Turn
রকম,Kind
ঘন্টা,Hour
তাঁদের,Their
জোরে,Loudly
দায়িত্ব,Responsibility
দুজন,Both
বিরক্ত,Disturbed
রাখ,Keep
বেরিয়ে,Out
লর্ড,Lord
হয়তোবা,Maybe
পড়েছে,Fall
উনার,His
যেভাবে,That way
পরিচয়,Identity
ফেল,Do it
খোলা,Open
মাস্টার,Master
তে,In
জন্ম,Birth
আগুন,Fire
দাঁড়িয়ে,Stand
ছেলের,Boy
সম্পর্ক,Relationship
রাজি,Agree
করতো,Used to do
মেনে,Compliant
নিরাপত্তা,Safety
মরতে,To die
হত,Wounded
দিক,Direction
রাতের,Night
শান্তি,Peace
জেনে,Knowingly
চেয়েছিলাম,Wanted
সমস্ত,All
রেডি,Ready
থামাও,Stop
মানুষকে,Man
এজেন্ট,Agent
জিনিসটা,Thing
দেখাচ্ছে,Showing
বললো,Said
সাথেই,Immediately
গুড,Good
থাকব,Stay
বলল,Said
ঘটেছে,Occurred
আস,Come
ঘুম,Sleep
চাইনা,Not want
রুম,Room
দেখেছ,See
পড়তে,Read
ফেলতে,Toe
ক্ষতি,Disadvantage
প্রেসিডেন্ট,President
ওরে,Orah
গাছ,Tree
যাবার,Go
গ্রহণ,Adoption
বাঁচাতে,To save
রেখো,Read
শক্ত,Hard
২০,20
লোকটা,Man
দেখলাম,Looked
কিচ্ছু,Something
নিয়েছে,Taken
পৃথিবীতে,In the world
এসেছেন,Have come
করিয়ে,On
চুক্তি,Agreement
অর্থ,Money
ধুর,Smoke
মুখে,In the face of
শীঘ্রই,Soon
লক্ষ্য,Goal
যতক্ষণ,As long as
কবে,When
সম্পূর্ণ,Complete
করেছিলে,By
বরং,Rather than
এভাবেই,Thus
কাহিনী,Story
ভেতর,Inner
সেগুলো,Them
চলবে,On
আজকের,Today
মেয়েটা,Girl
বিষয়ে,On
লোকজন,People
দাম,Price
কেউই,None
সতর্ক,Careful
আগামীকাল,Tomorrow
শরীর,Body
তৈরী,Made
লাগলো,Looked
পাচ্ছ,Lap
মনোযোগ,Focus
লোকেরা,People
হয়না,Either
স্কুল,School
গাড়িতে,In the car
যেই,Whatever
রাস্তায়,On the road
আইন,Law
আল্লাহ,Allah
দেখেছো,Watched
শিকার,Victim
শুনুন,Listen
বিশাল,Great
ওদেরকে,Them
কফি,Coffee
লম্বা,Tall
উপহার,Gift
হয়ে,So
রাগ,Anger
হামলা,Attack
এজন্যই,That is why
যাবেন,Go
বাচ্চারা,Children
দেখবে,See
অফিসার,Officer
নিয়ম,Rule
করোনা,No
লাল,Red
ডান,Right
কিংবা,Or
এসেছিল,Came
ওগুলো,That
কোড,Code
পারবনা,Welcome
আলো,Light
জেগে,Wake up
মালিক,Owner
আম্মু,Mom
বানাতে,To make
গাড়ির,Vehicle
নজর,Eye
রিপোর্ট,Report
ক্ষেত্রে,In case
একজনকে,One
ভিন্ন,Different
যুদ্ধের,War
পুরোপুরি,Perfectly
কারনে,Because
আবারো,Again
যাদের,Whom
থাকুন,Stay
কিছুর,Something
ঘণ্টা,Bell
চলুন,Let
পাঠিয়ে,By
দশ,Ten
চা,Tea
প্রার্থনা,Prayer
অসুস্থ,Sick
করিস,Do
পেলাম,I got
লোকের,Man
হাসি,Laugh
থেকেও,From
আক্রমণ,Attack
শাস্তি,Punishment
সৃষ্টি,Creation
বুদ্ধি,Intellect
তাকিয়ে,Looked
দেন,Pay
বানানো,Make
দিয়েছিল,Gave
অবস্থান,Position
খাও,Eat
চুল,Hair
প্রত্যেক,Every
৬,Six
রাখার,Keep
নেবে,Take
পেয়েছ,Received
প্রকাশ,Reveal
যেহেতু,Because
কেস,Case
জায়গাটা,Place
তবুও,Yet
কারা,Imprisonment
জানার,Knowing
বুঝেছ,Understand
অর্ধেক,Half
শ্বাস,Breath
ব্যথা,Pain
প্রতিদিন,Everyday
আমারও,Me
থামাতে,To stop
নিয়েছি,Take
জরুরী,Urgent
চাবি,Key
বুঝে,Understanding
সবসময়ই,Always
অনেকটা,Much
মেয়ে,Girl
নিচু,Low
পারছিনা,Have been
অল্প,Little
সবকিছুই,Everything
কোনটা,Which one
পিছু,Backward
প্রভু,Lord
পরবর্তী,Next
অফ,Off
কাপড়,Cloth
মূল্য,Value
নিয়ে,With
অবশ্য,But
বেছে,Choice
সন্তান,Child
আমারে,Me
বাঁচাও,Save
বলেছিলেন,Said
বলবেন,Say
কাম,Desire
বোমা,Bomb
টিম,Team
স্বামী,Husband
পাবো,Get
